Latitude,Longitude,Pokemon
67.14812055,-161.0812043,Dracozolt
40.6777743,-121.4502215,Graveler Alola
34.16089266,-104.2194995,Throh
43.83138692,-88.4106318,Tympole
36.34812771,-104.4603249,Piplup
68.20108559,-152.1428478,Roserade
36.90856125,-96.18573199,Farfetchd Galar
33.38594421,-89.08105228,Ninjask
68.87086081,-142.9164402,Gothita
26.72811678,-81.81619576,Voltorb
43.87020949,-86.6573635,Shinx
60.91815926,-145.5712076,Lapras
48.96845968,-120.7011046,Gible
36.88884302,-121.1235091,Braixen
61.65103248,-156.5041486,Gastly
35.8746561,-118.3191623,Garbodor Gmax
47.21075502,-109.6893587,Sentret
32.0368887,-81.11265881,Slurpuff
46.56995007,-103.2582095,Grimer
33.36950701,-108.4131776,Mawile
36.50721445,-104.491045,Slowbro
61.9103635,-158.1420516,Nidoking
42.63058308,-73.04549145,Greninja
32.76801226,-80.12728306,Carkol
33.63078772,-98.02382898,Haunter
32.52459653,-88.24723744,Houndoom Mega
39.02645365,-120.4400436,Escavalier
45.49204454,-94.73770504,Wishiwashi School
66.89763203,-156.9905243,Bagon
46.64036267,-98.81937867,Porygon2
41.46200998,-73.61332644,Minior Orange
69.43341684,-156.5689254,Darumaka Galar
42.63942135,-74.54672342,Weedle
48.99063876,-108.7169364,Escavalier
67.22866269,-142.6616306,Staravia
40.97131324,-105.6719619,Stonjourner
33.12128054,-84.27249581,Cherubi
67.69258583,-162.1700185,Watchog
65.88813043,-152.0226421,Torchic
36.19302729,-93.1875281,Guzzlord
62.32502536,-151.3120305,Dwebble
38.12733529,-84.40500136,Tentacruel
37.28611515,-97.5296448,Relicanth
36.20977866,-86.20854399,Inteleon
32.0461663,-111.5172211,Pichu
33.13143542,-109.175681,Ribombee Totem
36.8879441,-81.55458633,Sneasel
38.72571101,-116.4136958,Omastar
36.99559567,-114.5395206,Rhyhorn
33.62120021,-83.08043788,Aegislash Shield
32.62007225,-111.862568,Pikachu Cosplay
38.76001192,-92.99538385,Pikachu Alola Cap
41.59796289,-87.29687665,Tyrunt
33.53044906,-99.02544408,Hoothoot
39.63728939,-101.966679,Minior Orange Meteor
68.24918527,-142.783331,Taillow
46.29482851,-106.4371383,Sandile
42.46603095,-87.12611806,Piloswine
33.67141365,-96.91108223,Darkrai
47.02511284,-118.2100677,Murkrow
39.06432921,-84.20365142,Wormadam Plant
47.71277613,-90.68715988,Durant
35.15778308,-111.0618416,Gyarados Mega
32.38830644,-111.1505077,Meowth Galar
46.9139324,-120.9155439,Gengar
26.77584931,-98.96452382,Machamp
47.08430706,-112.7945498,Claydol
43.55070038,-109.296846,Mawile
34.21139697,-102.6699041,Meowstic Male
37.02986182,-91.01982971,Stakataka
43.65387665,-73.53873046,Pawniard
39.59788898,-83.62229315,Hoothoot
44.08287856,-104.3841637,Shinx
34.42235659,-92.32750179,Pikachu Pop Star
39.93752296,-113.4824814,Croagunk
43.67709149,-83.47800057,Blitzle
41.22518238,-120.2888159,Lapras
44.44856784,-111.8563844,Tyranitar Mega
65.04321691,-161.6260779,Roserade
38.98528258,-108.2841518,Aegislash Blade
41.65858956,-82.83611594,Stunky
35.31238897,-94.67429282,Pidgeot Mega
64.88338866,-160.7065255,Wailmer
37.81441683,-122.1417301,Garchomp
32.62160749,-81.63692739,Dugtrio Alola
32.28099522,-92.37574418,Appletun Gmax
36.78783456,-112.9728885,Snubbull
45.31042486,-85.03273837,Swampert Mega
62.96837409,-163.926881,Dratini
38.05769218,-120.1354665,Raticate Totem Alola
41.305343,-107.2036311,Bayleef
35.57018113,-80.42654531,Zweilous
45.76466557,-113.0079138,Piplup
39.19246611,-90.89739254,Medicham Mega
47.15679285,-123.9765499,Delphox
40.0052962,-109.1567394,Deerling
69.37076082,-148.0332134,Butterfree Gmax
39.91742163,-84.02935331,Deerling
60.56498055,-153.4531262,Zebstrika
45.25563828,-111.6475426,Manectric
44.11314391,-73.26653274,Venusaur
30.89860536,-105.3493947,Torterra
43.98838091,-85.08271154,Ninetales
44.21015796,-105.7929666,Cottonee
33.05124255,-92.24558833,Gastrodon
68.18833133,-151.4227641,Lopunny Mega
38.16692399,-119.1183757,Frogadier
42.39677008,-93.16219317,Copperajah
66.62048583,-152.4709546,Kangaskhan Mega
67.53555329,-160.0760082,Steelix
45.93676709,-112.8337388,Sliggoo
66.08841846,-164.4489021,Noctowl
40.92673851,-120.295178,Fletchling
38.86579763,-92.87770523,Dracozolt
46.43721497,-100.0215475,Nidorina
40.6790336,-117.4378641,Lycanroc Midnight
37.4571333,-92.57764427,Persian Alola
38.70513583,-98.31643179,Pikachu Alola Cap
70.31174124,-149.6173086,Amoonguss
35.59952397,-99.83503977,Wailord
36.58171655,-83.0407299,Venonat
32.90450489,-104.7660269,Caterpie
41.52337781,-106.5589474,Gligar
36.14468299,-83.43704828,Raticate
47.31442671,-89.51259689,Victreebel
38.43617524,-103.7494095,Muk Alola
63.12432204,-146.7724773,Gible
34.70609936,-102.9196892,Machoke
40.12017067,-88.66630104,Rolycoly
46.63892604,-89.61403882,Grimmsnarl
36.47630431,-92.18714336,Torracat
64.31813187,-160.6702399,Kecleon
38.46647069,-92.89461041,Flapple Gmax
46.98393619,-94.33409257,Poochyena
40.93935129,-73.20610677,Elgyem
70.35668112,-161.4403992,Carkol
60.71702825,-148.1380033,Cinderace Gmax
37.54242466,-84.71822318,Scyther
67.05619147,-157.9469001,Barbaracle
62.3440942,-147.6378845,Aggron Mega
39.68872053,-93.34424681,Copperajah Gmax
42.06858722,-94.84809465,Swampert
67.60801578,-148.0296065,Paras
45.19482616,-85.65253152,Tyrunt
40.48560919,-103.5249774,Ledian
60.86443638,-144.3636725,Omastar
62.45050936,-152.3997411,Drifblim
36.4051394,-108.7733024,Rufflet
33.80982267,-106.3295951,Stunfisk Galar
44.76001242,-103.1296253,Ferrothorn
66.71330009,-150.0512576,Kangaskhan Mega
29.35150759,-96.67830228,Pikachu
44.44659613,-95.85160561,Deoxys Speed
38.99190647,-82.15913338,Scizor Mega
43.59156948,-103.5551836,Rockruff
36.85705444,-77.9484325,Raboot
34.86586012,-95.36513019,Snubbull
33.3420946,-108.4315306,Mantine
48.63832489,-114.433175,Whiscash
45.39270227,-84.89630133,Piloswine
63.09633294,-157.5099228,Oranguru
67.22621447,-161.2760818,Rhyperior
60.885295,-153.487444,Pumpkaboo Large
36.58581049,-81.38354025,Shiinotic
40.52651199,-81.95838528,Farfetchd
34.0621054,-101.0061843,Bulbasaur
33.71452795,-113.3213008,Wormadam Plant
66.6655505,-141.5980567,Cranidos
31.69728787,-109.4788262,Tsareena
38.59879801,-120.8642551,Chandelure
31.81102747,-82.76075519,Clawitzer
35.85829509,-84.55226563,Cherubi
62.77834945,-152.9479099,Rufflet
35.53758741,-120.9943022,Dreepy
60.65276228,-161.028794,Gardevoir
41.73192088,-109.6460255,Azumarill
67.24358657,-157.8099339,Minior Green
44.87334021,-122.1611898,Zigzagoon Galar
45.80576748,-104.2981161,Eevee Gmax
47.36775876,-120.2003923,Blaziken
66.13379422,-145.1826616,Mudsdale
32.42573395,-102.5263414,Dewott
39.2080932,-89.48964285,Scolipede
59.03621143,-161.2326619,Lycanroc Midnight
39.02925729,-88.30083174,Morelull
33.21142688,-105.2445589,Meloetta Pirouette
47.8348908,-114.537545,Goodra
48.16994083,-91.03653769,Paras
39.99109516,-108.8987336,Carracosta
44.65064392,-74.35024796,Grotle
63.56087777,-159.3070587,Oddish
36.69560581,-115.9617973,Pinsir Mega
46.88983078,-110.7399434,Decidueye
43.58468626,-97.62657059,Gothorita
38.29786994,-118.3731717,Deoxys Attack
47.84564908,-108.214005,Vivillon
